Running: Dim=10, Cond=1
  Run 12: fmin = 5.4321e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 13: fmin = 9.4317e-07 | Evals = 308715 | Best so far = 5.5322e-07
  Run 14: fmin = 1.1183e+00 | Evals = 999915 | Best so far = 5.5322e-07
  Run 15: fmin = 5.4321e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 16: fmin = 5.0838e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 17: fmin = 5.4321e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 18: fmin = 1.0806e+00 | Evals = 999915 | Best so far = 5.5322e-07
  Run 19: fmin = 1.0806e+00 | Evals = 999915 | Best so far = 5.5322e-07
  Run 20: fmin = 2.7015e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 21: fmin = 5.4321e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 22: fmin = 7.7555e-07 | Evals = 311815 | Best so far = 5.5322e-07
  Run 23: fmin = 5.4321e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 24: fmin = 5.4321e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 25: fmin = 2.7015e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 26: fmin = 2.7015e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 27: fmin = 1.0806e+00 | Evals = 999915 | Best so far = 5.5322e-07
  Run 28: fmin = 5.4321e-01 | Evals = 999915 | Best so far = 5.5322e-07
  Run 29: fmin = 2.7015e-01 | Evals = 999915 | Best so far = 5.5322e-07

Running: Dim=80, Cond=1
  Run 0: fmin = 3.1923e-04 | Evals = 999915 | Best so far = 3.1923e-04
  Run 1: fmin = 5.9562e-03 | Evals = 999915 | Best so far = 3.1923e-04
  Run 2: fmin = 3.6329e-04 | Evals = 999915 | Best so far = 3.1923e-04
  Run 3: fmin = 2.2667e-03 | Evals = 999915 | Best so far = 3.1923e-04
  Run 4: fmin = 6.2769e-03 | Evals = 999915 | Best so far = 3.1923e-04
  Run 5: fmin = 4.4332e-04 | Evals = 999915 | Best so far = 3.1923e-04
  Run 6: fmin = 8.5036e-03 | Evals = 999915 | Best so far = 3.1923e-04
  Run 7: fmin = 1.8561e-03 | Evals = 999915 | Best so far = 3.1923e-04
  Run 8: fmin = 8.8838e-04 | Evals = 999915 | Best so far = 3.1923e-04
  Run 9: fmin = 6.1365e-04 | Evals = 999915 | Best so far = 3.1923e-04
  Run 10: fmin = 1.2316e-02 | Evals = 999915 | Best so far = 3.1923e-04
  Run 11: fmin = 1.6984e-02 | Evals = 999915 | Best so far = 3.1923e-04
  Run 12: fmin = 7.3144e-03 | Evals = 999915 | Best so far = 3.1923e-04
  Run 13: fmin = 1.4475e-05 | Evals = 999915 | Best so far = 1.4475e-05
  Run 14: fmin = 2.3072e-03 | Evals = 999915 | Best so far = 1.4475e-05
  Run 15: fmin = 3.6300e-02 | Evals = 999915 | Best so far = 1.4475e-05
  Run 16: fmin = 2.3026e-02 | Evals = 999915 | Best so far = 1.4475e-05
  Run 17: fmin = 2.5519e-03 | Evals = 999915 | Best so far = 1.4475e-05
