
Running: Dim=10, Cond=1
  Run 26: fmin = 5.0838e-01 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 27: fmin = 2.2129e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 28: fmin = 2.4313e+00 | Evals = 1000001 | Best so far = 9.9036e-07
  Run 29: fmin = 8.4234e-01 | Evals = 1000001 | Best so far = 9.9036e-07

Running: Dim=80, Cond=1
  Run 0: fmin = 6.5000e+01 | Evals = 1000001 | Best so far = 6.5000e+01
  Run 1: fmin = 7.1000e+01 | Evals = 1000001 | Best so far = 6.5000e+01
  Run 2: fmin = 5.9000e+01 | Evals = 1000001 | Best so far = 5.9000e+01
  Run 3: fmin = 3.9000e+01 | Evals = 1000001 | Best so far = 3.9000e+01
  Run 4: fmin = 4.2000e+01 | Evals = 1000001 | Best so far = 3.9000e+01
  Run 5: fmin = 2.0700e+02 | Evals = 1000001 | Best so far = 3.9000e+01
  Run 6: fmin = 7.3000e+01 | Evals = 1000001 | Best so far = 3.9000e+01
  Run 7: fmin = 7.9000e+01 | Evals = 1000001 | Best so far = 3.9000e+01
  Run 8: fmin = 1.8000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 9: fmin = 8.6000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 10: fmin = 4.7000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 11: fmin = 6.7000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 12: fmin = 2.0000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 13: fmin = 6.6000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 14: fmin = 3.6000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 15: fmin = 5.6000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 16: fmin = 8.4000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 17: fmin = 9.5000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 18: fmin = 6.5000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 19: fmin = 6.4000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 20: fmin = 7.5000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 21: fmin = 7.6000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 22: fmin = 8.1000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 23: fmin = 6.9000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 24: fmin = 3.3000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 25: fmin = 3.7000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 26: fmin = 9.9000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 27: fmin = 5.3000e+01 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 28: fmin = 1.4200e+02 | Evals = 1000001 | Best so far = 1.8000e+01
  Run 29: fmin = 3.0000e+01 | Evals = 1000001 | Best so far = 1.8000e+01

Running: Dim=80, Cond=100
  Run 0: fmin = 2.1372e+01 | Evals = 1000001 | Best so far = 2.1372e+01
  Run 1: fmin = 9.5605e+00 | Evals = 1000001 | Best so far = 9.5605e+00
  Run 2: fmin = 1.3038e+01 | Evals = 1000001 | Best so far = 9.5605e+00
  Run 3: fmin = 9.6417e+00 | Evals = 1000001 | Best so far = 9.5605e+00
  Run 4: fmin = 2.3170e+01 | Evals = 1000001 | Best so far = 9.5605e+00
  Run 5: fmin = 1.9687e+01 | Evals = 1000001 | Best so far = 9.5605e+00
  Run 6: fmin = 2.2814e+01 | Evals = 1000001 | Best so far = 9.5605e+00
  Run 7: fmin = 2.7082e+01 | Evals = 1000001 | Best so far = 9.5605e+00
  Run 8: fmin = 1.5700e+01 | Evals = 1000001 | Best so far = 9.5605e+00
  Run 9: fmin = 2.2957e+01 | Evals = 1000001 | Best so far = 9.5605e+00
  Run 10: fmin = 1.9498e+01 | Evals = 1000001 | Best so far = 9.5605e+00
  Run 11: fmin = 1.6478e+01 | Evals = 1000001 | Best so far = 9.5605e+00
  Run 12: fmin = 1.0903e+01 | Evals = 1000001 | Best so far = 9.5605e+00
  Run 13: fmin = 1.6002e+00 | Evals = 1000001 | Best so far = 1.6002e+00
  Run 14: fmin = 1.6023e+01 | Evals = 1000001 | Best so far = 1.6002e+00
  Run 15: fmin = 9.9429e-07 | Evals = 56849 | Best so far = 9.9429e-07
  Run 16: fmin = 4.7352e+01 | Evals = 1000001 | Best so far = 9.9429e-07
  Run 17: fmin = 1.2852e+01 | Evals = 1000001 | Best so far = 9.9429e-07
  Run 18: fmin = 1.4063e+01 | Evals = 1000001 | Best so far = 9.9429e-07
  Run 19: fmin = 1.5732e+00 | Evals = 1000001 | Best so far = 9.9429e-07
  Run 20: fmin = 1.9707e+01 | Evals = 1000001 | Best so far = 9.9429e-07
  Run 21: fmin = 1.4252e+01 | Evals = 1000001 | Best so far = 9.9429e-07
  Run 22: fmin = 5.3756e+00 | Evals = 1000001 | Best so far = 9.9429e-07
  Run 23: fmin = 7.0740e+00 | Evals = 1000001 | Best so far = 9.9429e-07
  Run 24: fmin = 2.0151e+01 | Evals = 1000001 | Best so far = 9.9429e-07
  Run 25: fmin = 3.0388e+01 | Evals = 1000001 | Best so far = 9.9429e-07
  Run 26: fmin = 3.3420e+01 | Evals = 1000001 | Best so far = 9.9429e-07
  Run 27: fmin = 1.6970e+01 | Evals = 1000001 | Best so far = 9.9429e-07
  Run 28: fmin = 1.8056e+01 | Evals = 1000001 | Best so far = 9.9429e-07
  Run 29: fmin = 1.4070e+01 | Evals = 1000001 | Best so far = 9.9429e-07

Running: Dim=80, Cond=10000
  Run 0: fmin = 1.0071e+01 | Evals = 1000001 | Best so far = 1.0071e+01
  Run 1: fmin = 2.2621e+00 | Evals = 1000001 | Best so far = 2.2621e+00
  Run 2: fmin = 1.4554e+01 | Evals = 1000001 | Best so far = 2.2621e+00
  Run 3: fmin = 5.6946e+00 | Evals = 1000001 | Best so far = 2.2621e+00
  Run 4: fmin = 6.6765e+00 | Evals = 1000001 | Best so far = 2.2621e+00
  Run 5: fmin = 8.0834e+00 | Evals = 1000001 | Best so far = 2.2621e+00
  Run 6: fmin = 6.7282e+00 | Evals = 1000001 | Best so far = 2.2621e+00
  Run 7: fmin = 6.3215e+00 | Evals = 1000001 | Best so far = 2.2621e+00
  Run 8: fmin = 1.2651e+01 | Evals = 1000001 | Best so far = 2.2621e+00
  Run 9: fmin = 9.3650e+00 | Evals = 1000001 | Best so far = 2.2621e+00
  Run 10: fmin = 1.1068e+01 | Evals = 1000001 | Best so far = 2.2621e+00
  Run 11: fmin = 9.3264e+00 | Evals = 1000001 | Best so far = 2.2621e+00
  Run 12: fmin = 2.0234e+00 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 13: fmin = 1.3037e+01 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 14: fmin = 9.1758e+00 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 15: fmin = 5.8714e+00 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 16: fmin = 1.8393e+01 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 17: fmin = 9.6600e+00 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 18: fmin = 4.6076e+00 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 19: fmin = 2.3182e+01 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 20: fmin = 1.7853e+01 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 21: fmin = 2.3535e+01 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 22: fmin = 1.0265e+01 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 23: fmin = 7.7675e+00 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 24: fmin = 1.7301e+01 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 25: fmin = 1.1664e+01 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 26: fmin = 1.9533e+01 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 27: fmin = 2.4287e+00 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 28: fmin = 3.4801e+00 | Evals = 1000001 | Best so far = 2.0234e+00
  Run 29: fmin = 6.1740e+00 | Evals = 1000001 | Best so far = 2.0234e+00

==================================================
FINAL BEST SCORES FOR EACH OF THE 9 RUNS:
==================================================
dim10_cond1: 3.5158e-07
dim10_cond100: 3.9476e-07
dim10_cond10000: 7.8953e-07
dim30_cond1: 8.4903e-07
dim30_cond100: 9.8964e-07
dim30_cond10000: 9.9036e-07
dim80_cond1: 1.8000e+01
dim80_cond100: 9.9429e-07
dim80_cond10000: 2.0234e+00
==================================================

Process finished with exit code 0
